Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2018;10;18;00;00;40.29;0.00;16.06;288.69
2018;10;18;01;00;38.74;0.00;16.57;291.37
2018;10;18;02;00;37.43;0.00;17.71;296.24
2018;10;18;03;00;37.95;0.00;18.62;302.74
2018;10;18;04;00;37.70;0.00;19.01;306.87
2018;10;18;05;00;35.90;0.00;19.42;308.45
2018;10;18;06;00;34.15;0.00;19.69;306.22
2018;10;18;07;00;32.16;0.00;19.23;303.14
2018;10;18;08;00;32.97;0.00;18.55;303.69
2018;10;18;09;00;35.22;0.00;19.24;305.54
2018;10;18;10;00;37.12;0.00;19.29;307.93
2018;10;18;11;00;39.21;0.00;19.51;310.82
2018;10;18;12;00;40.78;0.00;18.73;310.16
2018;10;18;13;00;42.29;0.00;17.85;307.87
2018;10;18;14;00;43.17;0.00;17.19;304.93
2018;10;18;15;00;43.68;0.00;16.81;303.06
2018;10;18;16;00;43.42;0.00;16.57;301.76
2018;10;18;17;00;42.29;0.00;15.15;301.11
2018;10;18;18;00;39.46;0.00;12.21;298.44
2018;10;18;19;00;36.49;0.00;10.34;291.57
2018;10;18;20;00;33.76;0.00;9.83;287.20
2018;10;18;21;00;31.49;0.00;9.39;282.38
2018;10;18;22;00;30.54;0.00;9.27;278.33
2018;10;18;23;00;30.16;0.00;8.75;274.40
2018;10;19;00;00;30.09;0.00;8.50;270.00
2018;10;19;01;00;30.10;0.00;8.10;263.66
2018;10;19;02;00;30.25;0.00;8.08;255.58
2018;10;19;03;00;30.37;0.00;8.43;248.20
2018;10;19;04;00;30.30;0.00;9.00;243.43
2018;10;19;05;00;30.10;0.00;9.63;239.26
2018;10;19;06;00;29.92;0.00;9.99;235.95
2018;10;19;07;00;30.52;0.00;10.34;231.15
2018;10;19;08;00;35.12;0.00;11.48;236.93
2018;10;19;09;00;42.54;0.00;13.16;234.69
2018;10;19;10;00;48.03;0.00;14.01;231.48
2018;10;19;11;00;52.30;0.00;14.78;230.53
2018;10;19;12;00;55.61;0.00;15.30;232.13
2018;10;19;13;00;58.22;0.00;15.48;232.63
2018;10;19;14;00;59.71;0.00;15.76;231.34
2018;10;19;15;00;60.49;0.00;16.01;228.96
2018;10;19;16;00;60.07;0.00;16.15;227.25
2018;10;19;17;00;57.99;0.00;15.35;226.77
2018;10;19;18;00;53.90;0.00;14.39;225.63
2018;10;19;19;00;51.25;0.00;14.09;223.07
2018;10;19;20;00;50.23;0.00;14.88;222.56
2018;10;19;21;00;50.48;0.00;15.51;222.66
2018;10;19;22;00;51.07;0.00;16.00;222.17
2018;10;19;23;00;51.49;0.00;16.48;221.70
2018;10;20;00;00;52.19;0.00;16.98;220.19
2018;10;20;01;00;52.76;0.00;16.87;218.54
2018;10;20;02;00;53.18;0.00;17.09;217.02
2018;10;20;03;00;53.95;0.00;17.27;216.57
2018;10;20;04;00;54.83;0.00;17.58;216.72
2018;10;20;05;00;55.92;0.00;17.99;218.44
2018;10;20;06;00;55.99;0.00;17.45;216.14
2018;10;20;07;00;56.02;0.00;17.14;215.97
2018;10;20;08;00;54.93;0.00;17.50;215.11
2018;10;20;09;00;55.34;0.00;17.30;220.28
2018;10;20;10;00;56.40;0.00;17.40;223.96
2018;10;20;11;00;57.82;0.00;17.26;227.63
2018;10;20;12;00;58.63;0.00;16.78;233.13
2018;10;20;13;00;59.37;0.00;16.15;239.17
2018;10;20;14;00;61.73;0.00;15.42;246.04
2018;10;20;15;00;60.83;0.00;14.17;254.43
2018;10;20;16;00;61.08;0.00;13.71;264.38
2018;10;20;17;00;59.55;0.00;13.23;273.88
2018;10;20;18;00;58.24;0.00;12.06;280.68
2018;10;20;19;00;56.96;0.00;11.04;287.70
2018;10;20;20;00;56.02;0.00;9.85;291.32
2018;10;20;21;00;51.96;0.00;8.07;289.44
2018;10;20;22;00;49.96;0.00;7.57;288.97
2018;10;20;23;00;48.36;0.00;7.64;290.56
2018;10;21;00;00;46.75;0.00;7.91;295.11
2018;10;21;01;00;44.68;0.00;8.13;301.50
2018;10;21;02;00;42.99;0.00;8.46;307.48
2018;10;21;03;00;44.40;0.00;8.55;312.88
2018;10;21;04;00;45.83;0.00;9.03;318.01
2018;10;21;05;00;46.05;0.00;10.25;323.88
2018;10;21;06;00;45.62;0.00;11.36;327.88
2018;10;21;07;00;44.85;0.00;13.54;329.20
2018;10;21;08;00;42.70;1.10;14.66;344.05
2018;10;21;09;00;40.71;0.50;16.41;332.39
2018;10;21;10;00;42.04;0.00;17.63;324.29
2018;10;21;11;00;44.43;0.00;20.13;323.13
2018;10;21;12;00;44.50;0.00;22.52;325.52
2018;10;21;13;00;43.82;0.00;23.15;325.23
2018;10;21;14;00;43.51;0.00;23.22;324.01
2018;10;21;15;00;43.12;0.00;22.86;323.35
2018;10;21;16;00;42.15;0.00;22.06;323.25
2018;10;21;17;00;40.63;0.00;20.27;322.62
2018;10;21;18;00;38.38;0.00;17.62;319.64
2018;10;21;19;00;36.96;0.00;15.50;315.00
2018;10;21;20;00;35.67;0.00;14.44;310.60
2018;10;21;21;00;34.30;0.00;14.01;308.52
2018;10;21;22;00;32.55;0.00;13.47;305.54
2018;10;21;23;00;30.84;0.00;12.59;303.41
2018;10;22;00;00;29.55;0.00;11.82;299.48
2018;10;22;01;00;28.75;0.00;11.20;296.05
2018;10;22;02;00;28.57;0.00;10.63;292.25
2018;10;22;03;00;28.41;0.00;10.12;288.03
2018;10;22;04;00;27.80;0.00;9.88;283.09
2018;10;22;05;00;27.66;0.00;9.71;277.94
2018;10;22;06;00;27.58;0.00;9.41;272.73
2018;10;22;07;00;27.58;0.00;9.18;267.21
2018;10;22;08;00;31.17;0.00;9.40;268.64
2018;10;22;09;00;38.28;0.00;9.62;270.00
2018;10;22;10;00;42.22;0.00;11.24;275.71
2018;10;22;11;00;44.54;0.00;11.20;273.43
2018;10;22;12;00;46.57;0.00;10.98;266.50
2018;10;22;13;00;48.48;0.00;11.23;257.35
2018;10;22;14;00;49.80;0.00;11.25;252.65
2018;10;22;15;00;50.46;0.00;11.26;249.04
2018;10;22;16;00;50.23;0.00;10.61;245.06
2018;10;22;17;00;48.55;0.00;9.32;239.74
2018;10;22;18;00;45.78;0.00;7.34;232.43
2018;10;22;19;00;44.23;0.00;7.12;226.27
2018;10;22;20;00;42.79;0.00;7.44;226.22
2018;10;22;21;00;41.98;0.00;7.62;229.76
2018;10;22;22;00;42.29;0.00;7.34;232.43
2018;10;22;23;00;42.29;0.00;6.85;231.63
2018;10;23;00;00;42.31;0.00;6.02;228.01
2018;10;23;01;00;42.47;0.00;5.10;217.87
2018;10;23;02;00;42.63;0.00;4.91;204.23
2018;10;23;03;00;42.85;0.00;5.00;190.30
2018;10;23;04;00;43.12;0.00;5.37;180.00
2018;10;23;05;00;44.05;0.00;5.61;175.43
2018;10;23;06;00;43.87;0.00;5.63;173.16
2018;10;23;07;00;44.14;0.00;5.92;169.11
2018;10;23;08;00;42.92;0.00;6.32;157.07
2018;10;23;09;00;48.39;0.00;8.52;156.80
2018;10;23;10;00;50.82;0.00;10.52;156.16
2018;10;23;11;00;52.32;0.00;12.13;157.22
2018;10;23;12;00;51.52;0.10;12.63;157.07
2018;10;23;13;00;51.97;0.10;11.52;150.95
2018;10;23;14;00;53.70;0.00;11.50;142.91
2018;10;23;15;00;53.74;0.60;11.39;133.41
2018;10;23;16;00;53.45;0.50;10.94;130.86
2018;10;23;17;00;53.25;1.30;8.69;124.51
2018;10;23;18;00;53.11;0.80;5.96;124.29
2018;10;23;19;00;52.87;0.70;2.80;151.39
2018;10;23;20;00;52.21;0.00;2.41;248.20
2018;10;23;21;00;50.51;0.00;5.39;274.76
2018;10;23;22;00;49.02;0.00;6.30;276.12
2018;10;23;23;00;47.71;0.00;6.97;275.53
2018;10;24;00;00;46.57;0.00;7.25;278.88
2018;10;24;01;00;45.49;0.00;7.65;285.26
2018;10;24;02;00;44.65;0.00;7.85;289.98
2018;10;24;03;00;43.62;0.00;7.91;295.11
2018;10;24;04;00;44.03;0.00;8.02;300.14
2018;10;24;05;00;44.32;0.00;8.46;307.48
2018;10;24;06;00;45.30;0.00;9.65;315.94
2018;10;24;07;00;45.15;0.00;10.17;320.36
2018;10;24;08;00;38.87;0.00;10.69;285.78
2018;10;24;09;00;42.81;0.00;12.00;296.57
2018;10;24;10;00;46.93;0.00;13.64;311.01
2018;10;24;11;00;49.17;0.00;14.29;320.08
2018;10;24;12;00;48.82;0.00;13.84;325.54
2018;10;24;13;00;47.92;0.00;13.97;328.09
2018;10;24;14;00;46.99;0.00;14.02;326.06
2018;10;24;15;00;47.46;0.00;14.32;321.34
2018;10;24;16;00;48.19;0.00;14.87;316.22
2018;10;24;17;00;48.25;0.00;15.66;315.58
2018;10;24;18;00;45.73;0.00;15.82;315.00
2018;10;24;19;00;43.75;0.00;16.77;315.00
2018;10;24;20;00;42.02;0.00;17.24;315.53
2018;10;24;21;00;40.49;0.00;16.61;314.45
2018;10;24;22;00;39.43;0.00;15.98;313.30
2018;10;24;23;00;38.62;0.00;15.85;311.57
2018;10;25;00;00;38.02;0.00;16.18;310.52
2018;10;25;01;00;37.34;0.00;16.18;310.52
2018;10;25;02;00;36.57;0.00;15.27;309.05
2018;10;25;03;00;35.45;0.00;14.02;303.94
2018;10;25;04;00;34.33;0.00;13.01;296.57
2018;10;25;05;00;32.75;0.00;12.03;288.43
2018;10;25;06;00;31.54;0.00;11.99;284.04
2018;10;25;07;00;30.93;0.00;12.21;283.78
2018;10;25;08;00;35.50;0.00;13.83;292.83
2018;10;25;09;00;42.70;0.00;16.01;298.35
2018;10;25;10;00;44.29;0.00;17.74;303.69
2018;10;25;11;00;45.69;0.00;17.94;305.87
2018;10;25;12;00;46.75;0.00;17.50;308.77
2018;10;25;13;00;47.47;0.00;17.13;310.76
2018;10;25;14;00;47.62;0.00;16.79;311.76
2018;10;25;15;00;47.31;0.00;16.16;311.63
2018;10;25;16;00;46.47;0.00;15.53;311.50
2018;10;25;17;00;44.83;0.00;14.10;311.78
2018;10;25;18;00;41.78;0.00;11.43;310.24
2018;10;25;19;00;39.14;0.00;9.44;306.33
2018;10;25;20;00;36.31;0.00;9.68;303.69
2018;10;25;21;00;34.03;0.00;10.30;304.38
2018;10;25;22;00;31.71;0.00;10.74;305.68
2018;10;25;23;00;29.96;0.00;11.05;305.94
