State ID, Unemployment Rate(%)
"01133", 7
"02013", 1.9
"02016", 2.2
"02020", 5
"02050", 14.1
"02060", 5.6
"02068", 3.2
"02070", 8.1
"02090", 4.9
"02100", 5.9
"02105", 7.3
"02110", 3.6
"02122", 6.9
"02130", 4.4
"02150", 4.8
"02158", 21.7
"02164", 9.2
"02170", 7.4
"02180", 13.6
"02185", 6.9
"02188", 16.5
"02195", 5.7
"02198", 9.4
"02220", 3
"02230", 3
"02240", 8.7
"02261", 5.4
"02275", 5.4
"02282", 5.8
"02290", 16.4
"04001", 11.8
"04003", 6.5
"04005", 6.4
"04007", 7.6
"04009", 7.3
"04011", 7.7
"04012", 6.6
"04013", 4.9
"04015", 7
"04017", 8.5
"04019", 5.4
"04021", 5.9
"04023", 13
"04025", 5
"04027", 24.4
"05001", 3.2
"05003", 6.3
"05005", 4.1
"05007", 2.7
"05009", 3.3
"05011", 5.9
"05013", 5.1
"05015", 2.8
"05017", 6
"05019", 4.5
"05021", 5
"05023", 5.7
"05025", 4.4
"05027", 5.7
"05029", 5.9
"05031", 3.1
"05033", 3.7
"05035", 4.4
"05037", 3.9
"05039", 5
"05041", 5.1
"05043", 5.7
"05045", 3.7
"05047", 3.9
"05049", 3.9
"05051", 4
"05053", 3.2
"05055", 4
"05057", 3.7
"05059", 3.6
"05061", 3.4
"05063", 5
"05065", 5.3
"05067", 5.9
"05069", 5.9
"05071", 4.8
"05073", 6.2
"05075", 4.5
"05077", 4.5
"05079", 4.9
"05081", 5.1
"05083", 4.4
"05085", 3.2
"05087", 3
"05089", 3.8
"05091", 4.3
"05093", 7.1
"05095", 4.5
"05097", 4.6
"05099", 3.7
"05101", 3.6
"05103", 5.6
"05105", 4.4
"05107", 5.5
"05109", 3.8
"05111", 4.1
"05113", 4.7
"05115", 4.7
"05117", 3.7
"05119", 3.5
"05121", 4.6
"05123", 5
"05125", 3
"05127", 3.7
"05129", 4.3
"05131", 3.5
"05133", 4.8
"05135", 5.2
"05137", 4.8
"05139", 5.6
"05141", 6.4
"05143", 2.6
"05145", 4.8
"05147", 5.3
"05149", 4.4
"06001", 4.6
"06003", 7.3
"06005", 5.7
"06007", 6.6
"06009", 5.7
"06011", 10
"06013", 4.7
"06015", 7.3
"06017", 5.1
"06019", 8.7
"06021", 7.9
"06023", 5.1
"06025", 26.4
"06027", 4.9
"06029", 9.7
"06031", 8.9
"06033", 6.3
"06035", 6.1
"06037", 5.3
"06039", 8.2
"06041", 3.5
"06043", 5.4
"06045", 5
"06047", 9.2
"06049", 6.6
"06051", 5.2
"06053", 5.6
"06055", 4
"06057", 4.8
"06059", 4.3
"06061", 4.7
"06063", 7.1
"06065", 6.9
"06067", 5.7
"06069", 6.2
"06071", 6.2
"06073", 5
"06075", 3.5
"06077", 7.7
"06079", 4.5
"06081", 3.2
"06083", 4.8
"06085", 4
"06087", 5.7
"06089", 6.8
"06091", 6.6
"06093", 7.1
"06095", 5.7
"06097", 4.1
"06099", 7.9
"06101", 7.9
"06103", 7.4
"06105", 5.9
"06107", 10.6
"06109", 6.1
"06111", 5.7
"06113", 5.5
"06115", 8
"08001", 3.6
"08003", 4.3
"08005", 3.2
"08007", 3.1
"08009", 1.8
"08011", 3.1
"08013", 2.9
"08014", 3.1
"08015", 2.4
"08017", 2.7
"08019", 3.3
"08021", 4.9
"08023", 4.8
"08025", 3.6
"08027", 3
"08029", 4.7
"08031", 3.2
"08033", 4.1
"08035", 2.8
"08037", 2.5
"08039", 2.6
"08041", 3.9
"08043", 5.1
"08045", 3.3
"08047", 2.6
"08049", 2.3
"08051", 2.1
"08053", 2
"08055", 6.2
"08057", 2.3
"08059", 3.1
"08061", 2.1
"08063", 1.8
"08065", 2.6
"08067", 2.9
"08069", 2.9
